id,interest_id,parent_interest_id
1,1,0
2,2,1
3,3,2
4,4,2
5,5,2
6,6,2
7,7,2
8,8,2
9,9,1
10,10,9
11,11,9
12,12,9
13,13,1
14,14,13
15,15,13
16,16,1
17,17,0
18,18,17
19,19,18
20,20,18
21,21,18
22,22,18
23,23,18
24,24,17
25,25,24
26,26,24
27,27,24
28,28,24
29,29,17
30,30,29
31,31,29
32,32,29
33,33,17
34,34,33
35,35,33
36,27,33
37,26,33
38,35,24
39,26,24
40,35,33
41,35,0
42,36,35
43,37,36
44,38,36
45,39,36
46,40,35
47,41,40
48,42,40
49,43,40
50,44,35
51,45,44
52,46,44
53,47,44
54,48,0
55,49,48
56,50,49
57,51,49
58,52,49
59,53,49
60,54,49
61,55,49
62,56,48
63,57,56
64,58,56
65,59,56
66,60,56
67,61,56
68,62,48
69,63,62
70,64,62
71,65,62
72,66,0
73,67,66
74,68,67
75,69,67
76,70,67
77,71,67
78,72,66
79,73,72
80,74,72
81,75,72
82,76,66
83,77,76
84,78,76
85,79,76
86,80,66
87,81,0
88,82,81
89,83,82
90,84,82
91,85,82
92,81,0
93,86,81
94,87,81
95,88,81
96,89,0
97,90,89
98,30,90
99,91,90
100,92,90
101,93,90
102,94,89
103,95,94
104,96,94
105,97,94
106,98,89
107,99,98
108,100,98
109,101,98
110,102,0
111,103,102
112,104,103
113,105,103
114,106,103
115,107,102
116,85,107
117,108,107
118,109,102
119,110,109
120,111,109
121,112,109
122,113,0
123,114,113
124,115,114
125,116,114
126,117,113
127,118,117
128,119,117
129,120,113
130,121,120
131,122,120
132,123,0
133,124,123
134,125,124
135,126,124
136,127,124
137,128,123
138,129,128
139,130,128
140,131,128
141,132,123
142,133,132
143,134,132
144,135,0
145,136,135
146,137,136
147,138,136
148,139,136
149,140,135
150,141,140
151,142,140
152,143,140
153,144,0
154,145,144
155,146,145
156,147,145
157,148,145
158,149,144
159,150,149
160,151,149
161,152,149
162,153,144
163,154,153
164,76,153
165,155,153
166,156,0
167,157,156
168,158,157
169,159,157
170,160,157
171,161,156
172,162,161
173,163,161
174,164,161
175,165,156
176,166,165
177,167,165
178,168,165
179,169,0
180,170,169
181,171,170
182,172,170
183,173,170
184,174,170
185,175,169
186,176,175
187,177,175
188,178,175
189,179,169
190,180,179
191,181,179
